Fri Oct 10 15:57:29 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
10-10-2025 16:05:19.393,882.96,17.42
10-10-2025 16:05:20.513,882.68,17.42
10-10-2025 16:05:21.649,882.55,17.44
10-10-2025 16:05:22.721,882.55,17.46
10-10-2025 16:05:23.873,882.61,17.45
10-10-2025 16:05:24.961,882.99,17.43
10-10-2025 16:05:26.132,882.99,17.42
10-10-2025 16:05:27.157,882.99,17.43
10-10-2025 16:05:28.328,882.45,17.44
10-10-2025 16:05:29.353,881.74,17.45
10-10-2025 16:05:30.493,881.74,17.44
10-10-2025 16:05:31.712,881.75,17.43
10-10-2025 16:05:32.787,882.32,17.44
10-10-2025 16:05:33.842,882.44,17.43
10-10-2025 16:05:34.900,882.44,17.44
10-10-2025 16:05:36.052,882.35,17.44
10-10-2025 16:05:37.239,882.15,17.43
10-10-2025 16:05:38.326,882.15,17.42
10-10-2025 16:05:39.349,882.16,17.42
10-10-2025 16:05:40.424,882.09,17.42
10-10-2025 16:05:41.662,882.03,17.42
10-10-2025 16:05:42.757,882.03,17.43
10-10-2025 16:05:43.918,882.03,17.45
10-10-2025 16:05:44.942,882.08,17.43
10-10-2025 16:05:46.097,882.08,17.42
10-10-2025 16:05:47.123,882.09,17.42
10-10-2025 16:05:48.149,882.01,17.42
10-10-2025 16:05:49.222,881.74,17.41
10-10-2025 16:05:50.230,881.75,17.40
10-10-2025 16:05:51.302,881.74,17.40
10-10-2025 16:05:52.496,881.88,17.40
10-10-2025 16:05:53.651,881.99,17.41
10-10-2025 16:05:54.790,881.99,17.40
10-10-2025 16:05:55.925,881.99,17.42
10-10-2025 16:05:57.011,882.07,17.40
10-10-2025 16:05:58.026,882.07,17.40
10-10-2025 16:05:59.188,882.07,17.39
10-10-2025 16:06:00.353,881.92,17.38
10-10-2025 16:06:01.508,881.74,17.38
10-10-2025 16:06:02.679,881.74,17.38
10-10-2025 16:06:03.907,881.74,17.39
10-10-2025 16:06:04.949,881.55,17.39
10-10-2025 16:06:06.083,881.50,17.38
10-10-2025 16:06:07.109,881.51,17.37
10-10-2025 16:06:08.294,881.55,17.36
10-10-2025 16:06:09.370,881.66,17.37
10-10-2025 16:06:10.587,881.66,17.38
10-10-2025 16:06:11.613,881.66,17.39
10-10-2025 16:06:12.637,881.27,17.38
10-10-2025 16:06:13.662,880.78,17.38
10-10-2025 16:06:14.688,880.78,17.38
10-10-2025 16:06:15.715,880.78,17.38
10-10-2025 16:06:16.739,880.94,17.38
10-10-2025 16:06:17.766,881.07,17.36
10-10-2025 16:06:18.888,881.07,17.36
10-10-2025 16:06:19.897,881.07,17.36
10-10-2025 16:06:21.016,881.31,17.37
10-10-2025 16:06:22.071,881.38,17.38
10-10-2025 16:06:23.097,881.38,17.37
10-10-2025 16:06:24.281,881.39,17.38
10-10-2025 16:06:25.287,881.61,17.35
10-10-2025 16:06:26.480,881.62,17.36
10-10-2025 16:06:27.481,881.62,17.36
10-10-2025 16:06:28.570,881.69,17.36
10-10-2025 16:06:29.737,881.81,17.38
10-10-2025 16:06:30.762,881.83,17.36
10-10-2025 16:06:31.930,881.83,17.35
10-10-2025 16:06:32.946,881.87,17.34
10-10-2025 16:06:33.950,881.90,17.34
10-10-2025 16:06:35.133,881.90,17.34
10-10-2025 16:06:36.189,881.85,17.34
10-10-2025 16:06:37.358,881.35,17.35
10-10-2025 16:06:38.544,881.32,17.35
10-10-2025 16:06:39.657,881.32,17.35
10-10-2025 16:06:40.799,880.95,17.34
10-10-2025 16:06:41.831,880.38,17.33
10-10-2025 16:06:42.912,880.38,17.32
10-10-2025 16:06:43.937,880.38,17.33
10-10-2025 16:06:45.154,880.79,17.33
10-10-2025 16:06:46.178,880.93,17.34
10-10-2025 16:06:47.204,880.93,17.33
10-10-2025 16:06:48.229,880.92,17.34
10-10-2025 16:06:49.251,880.58,17.35
10-10-2025 16:06:50.275,880.48,17.37
10-10-2025 16:06:51.297,880.48,17.38
10-10-2025 16:06:52.399,880.49,17.35
10-10-2025 16:06:53.439,880.62,17.36
10-10-2025 16:06:54.479,880.64,17.35
10-10-2025 16:06:55.634,880.64,17.35
10-10-2025 16:06:56.642,880.57,17.37
10-10-2025 16:06:57.842,880.45,17.37
10-10-2025 16:06:59.026,880.45,17.37
10-10-2025 16:07:00.035,880.47,17.34
10-10-2025 16:07:01.108,880.14,17.33
10-10-2025 16:07:02.290,879.97,17.34
10-10-2025 16:07:03.346,879.96,17.35
10-10-2025 16:07:04.372,879.94,17.35
10-10-2025 16:07:05.493,879.69,17.33
10-10-2025 16:07:06.673,879.68,17.32
10-10-2025 16:07:07.744,879.68,17.31
10-10-2025 16:07:08.786,879.67,17.31
10-10-2025 16:07:09.938,879.62,17.31
10-10-2025 16:07:11.074,879.62,17.32
10-10-2025 16:07:12.137,879.61,17.33
10-10-2025 16:07:13.142,879.24,17.34
10-10-2025 16:07:14.167,878.97,17.33
10-10-2025 16:07:15.171,878.98,17.32
10-10-2025 16:07:16.371,878.97,17.33
10-10-2025 16:07:17.413,879.18,17.34
10-10-2025 16:07:18.646,879.24,17.35
10-10-2025 16:07:19.767,879.24,17.35
10-10-2025 16:07:20.966,879.22,17.33
10-10-2025 16:07:22.102,879.18,17.34
10-10-2025 16:07:23.108,879.18,17.33
10-10-2025 16:07:24.164,879.19,17.32
10-10-2025 16:07:25.234,879.86,17.30
10-10-2025 16:07:26.367,880.28,17.28
10-10-2025 16:07:27.441,880.27,17.29
10-10-2025 16:07:28.484,880.26,17.31
10-10-2025 16:07:29.501,880.32,17.32
10-10-2025 16:07:30.699,880.34,17.31
10-10-2025 16:07:31.777,880.34,17.31
10-10-2025 16:07:32.968,880.05,17.30
10-10-2025 16:07:34.056,879.48,17.30
10-10-2025 16:07:35.209,879.48,17.30
10-10-2025 16:07:36.394,879.48,17.30
10-10-2025 16:07:37.434,879.35,17.29
10-10-2025 16:07:38.583,879.30,17.30
10-10-2025 16:07:39.666,879.30,17.30
10-10-2025 16:07:40.667,879.31,17.28
10-10-2025 16:07:41.914,879.43,17.27
10-10-2025 16:07:43.008,879.44,17.26
10-10-2025 16:07:44.161,879.43,17.26
10-10-2025 16:07:45.414,879.08,17.28
10-10-2025 16:07:46.475,878.92,17.28
10-10-2025 16:07:47.595,878.91,17.28
10-10-2025 16:07:48.619,878.93,17.29
10-10-2025 16:07:49.803,879.29,17.27
10-10-2025 16:07:50.843,879.33,17.28
10-10-2025 16:07:51.882,879.34,17.27
10-10-2025 16:07:52.906,879.41,17.26
10-10-2025 16:07:53.980,879.77,17.26
10-10-2025 16:07:55.061,879.76,17.27
10-10-2025 16:07:56.140,879.76,17.27
10-10-2025 16:07:57.258,879.59,17.27
