"TOA5","EKO_MS80_1","CR300","16466","CR310.Std.10.07","CPU:08_10_25_adams.cr300","26933","IPC_DNI"
"TIMESTAMP","RECORD","DNI","Vraw_mV","BattV","PTemp_C","Vraw_mV_Adam"
"TS","RN","W/m^2","mV","Volts","Deg C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2025-10-10 12:24:00",384,745.8052,4988.571,13.68645,20.3159,6056.499
"2025-10-10 12:25:30",385,773.5261,5170.059,13.68741,20.38632,6284.788
"2025-10-10 12:27:00",386,832.5286,5573.804,13.68813,20.40189,6752.493
"2025-10-10 12:28:30",387,911.7297,6095.727,13.68669,20.4329,7370.253
"2025-10-10 12:30:00",388,942.8711,6308.669,13.68862,20.51227,7673.135
"2025-10-10 12:31:30",389,793.8683,5307.85,13.68813,20.54041,6472.241
"2025-10-10 12:33:00",390,765.7634,5118.7,13.68838,20.60002,6198.333
"2025-10-10 12:34:30",391,934.8544,6259.522,13.68813,20.64064,7605.959
"2025-10-10 12:36:00",392,871.1722,5834.241,13.64419,20.66526,7074.274
"2025-10-10 12:37:30",393,847.0789,5668.815,13.71807,20.7508,6887.291
"2025-10-10 12:39:00",394,832.0042,5562.858,13.71759,20.80554,6784.528
"2025-10-10 12:40:30",395,839.7703,5617.144,13.71759,20.84186,6820.093
"2025-10-10 12:42:00",396,848.6187,5672.345,13.71831,20.94815,6889.837
"2025-10-10 12:43:30",397,872.8724,5835.961,13.71807,20.96725,7087.119
"2025-10-10 12:45:00",398,932.2123,6233.34,13.71807,21.06173,7580.514
"2025-10-10 12:46:30",399,941.1542,6292.786,13.7171,21.1146,7645.143
"2025-10-10 12:48:00",400,918.6508,6149.007,13.71879,21.15059,7464.504
"2025-10-10 12:49:30",401,918.6074,6140.719,13.71976,21.23745,7454.719
"2025-10-10 12:51:00",402,962.8058,6441.68,13.71879,21.27145,7813.741
"2025-10-10 12:52:30",403,959.392,6421.217,13.71952,21.32863,7792.206
"2025-10-10 12:54:00",404,965.802,6461.16,13.71759,21.38879,7849.395
"2025-10-10 12:55:30",405,967.3753,6469.851,13.70865,21.40148,7855.874
"2025-10-10 12:57:00",406,956.7399,6398.654,13.71735,21.48868,7773.485
"2025-10-10 12:58:30",407,960.7816,6432.32,13.71759,21.51285,7802.325
"2025-10-10 13:00:00",408,941.4682,6297.433,13.71976,21.55347,7626.355
"2025-10-10 13:01:30",409,952.1537,6368.607,13.72,21.60933,7737.719
"2025-10-10 13:03:00",410,959.2117,6409.064,13.69031,21.62941,7789.927
"2025-10-10 13:04:30",411,955.3002,6387.953,13.69055,21.68228,7755.144
"2025-10-10 13:06:00",412,949.231,6342.626,13.69007,21.69343,7698.334
"2025-10-10 13:07:30",413,940.112,6287.894,13.69127,21.70403,7633.929
"2025-10-10 13:09:00",414,938.4085,6275.83,13.69151,21.77169,7618.47
"2025-10-10 13:10:30",415,939.14,6275.294,13.68958,21.78483,6472.71
"2025-10-10 13:12:00",416,939.1233,6280.946,13.69007,21.82081,6475.704
"2025-10-10 13:13:30",417,907.1302,6071.221,13.692,21.83461,6258.695
"2025-10-10 13:15:00",418,896.5683,5998.75,13.6594,21.8165,6205.393
"2025-10-10 13:16:30",419,908.012,6072.695,13.66326,21.86131,6251.614
"2025-10-10 13:18:00",420,915.855,6123.875,13.66036,21.85768,6282.822
"2025-10-10 13:19:30",421,897.714,6004.47,13.66326,21.86331,6147.578
"2025-10-10 13:21:00",422,910.731,6091.483,13.6606,21.88803,6293.948
"2025-10-10 13:22:30",423,933.545,6243.348,13.66133,21.88881,6432.164
"2025-10-10 13:24:00",424,939.7346,6283.292,13.66157,21.92721,6492.592
"2025-10-10 13:25:30",425,949.6318,6355.024,13.66278,21.92688,6547.682
"2025-10-10 13:27:00",426,950.1696,6354.89,0,21.82324,6582.375
"2025-10-10 13:28:30",427,949.7754,6352.567,0,21.63151,6595.467
"2025-10-10 13:30:00",428,950.6539,6356.03,13.71807,21.60171,6575.316
"2025-10-10 13:31:30",429,950.2397,6355.27,13.72048,21.75712,6551.569
"2025-10-10 13:33:00",430,948.9971,6341.643,13.71879,21.87004,6543.125
"2025-10-10 13:34:30",431,945.9909,6329.959,13.75162,21.94211,6510.933
"2025-10-10 13:36:00",432,929.8073,6225.365,13.69103,22.05812,6411.455
"2025-10-10 13:37:30",433,726.6254,4859.604,13.69151,22.0951,4994.469
"2025-10-10 13:39:00",434,848.5018,5676.076,13.69127,22.14874,5799.212
"2025-10-10 13:40:30",435,897.8676,6002.816,0,22.1578,6160.646
"2025-10-10 13:42:00",436,904.9724,6054.287,0,21.96839,6186.65
"2025-10-10 13:43:30",437,922.1313,6161.764,0,21.76374,6328.552
"2025-10-10 13:45:00",438,899.4242,6012.221,0,21.64343,6177.714
"2025-10-10 13:46:30",439,851.3043,5690.842,0,21.54309,5820.189
"2025-10-10 13:48:00",440,868.1893,5805.289,0,21.54806,5928.447
"2025-10-10 13:49:30",441,875.0369,5848.538,0,21.52422,6014.143
"2025-10-10 13:51:00",442,866.8799,5800.575,0,21.56407,5946.23
"2025-10-10 13:52:30",443,829.98,5548.226,0,21.59674,5692.384
"2025-10-10 13:54:00",444,645.2631,4308.058,0,21.59895,4463.744
"2025-10-10 13:55:30",445,720.0751,4817.426,0,21.65016,4917.396
"2025-10-10 13:57:00",446,866.7731,5799.279,0,21.64873,5941.248
"2025-10-10 13:58:30",447,924.5397,6179.725,0,21.64222,6315.885
"2025-10-10 14:00:00",448,927.9267,6208.051,0,21.66507,6380.604
"2025-10-10 14:01:30",449,933.2912,6240.444,0,21.62985,6420.323
"2025-10-10 14:03:00",450,931.4307,6238.5,0,21.66616,6380.224
"2025-10-10 14:04:30",451,933.4048,6241.874,0,21.64696,6401.446
"2025-10-10 14:06:00",452,933.358,6244.42,0,21.60347,6392.287
"2025-10-10 14:07:30",453,930.8094,6224.627,0,21.6399,6391.729
"2025-10-10 14:09:00",454,929.4232,6218.529,0,21.60657,6384.714
"2025-10-10 14:10:30",455,928.9689,6215.178,0,21.61153,6366.284
"2025-10-10 14:12:00",456,919.6629,6149.275,0,21.59431,6359.828
"2025-10-10 14:13:30",457,926.5071,6196.435,0,21.56616,6377.61
"2025-10-10 14:15:00",458,926.1396,6195.943,0,21.641,6386.188
"2025-10-10 14:16:30",459,924.5998,6180.797,0,21.64961,6364.027
"2025-10-10 14:18:00",460,921.313,6161.272,0,21.70999,6365.345
"2025-10-10 14:19:30",461,918.4236,6140.496,0,21.86341,6311.149
"2025-10-10 14:21:00",462,921.5635,6158.926,0,21.99708,6314.902
"2025-10-10 14:22:30",463,918.7844,6145.254,0,22.11949,6262.649
"2025-10-10 14:24:00",464,906.048,6060.766,0,22.19996,7345.366
"2025-10-10 14:25:30",465,918.8212,6145.567,0,22.25592,7427.242
"2025-10-10 14:27:00",466,920.8954,6159.887,0,22.32359,7319.14
"2025-10-10 14:49:30",477,896.6752,5994.774,13.71952,22.02523,7282.212
"2025-10-10 14:51:00",478,894.3637,5980.633,13.6932,22.51465,7265.167
"2025-10-10 14:52:30",479,895.0618,5982.264,13.69055,22.84358,7264.81
"2025-10-10 14:54:00",480,892.5232,5967.966,13.69272,23.01246,7249.819
"2025-10-10 14:55:30",481,889.0994,5949.201,13.66374,23.15573,7231.434
"2025-10-10 14:57:00",482,889.0527,5947.302,13.66302,23.1756,7215.528
"2025-10-10 14:58:30",483,884.8773,5918.372,13.66374,23.18289,7193.255
"2025-10-10 15:00:00",484,882.0114,5901.818,13.66326,23.20452,7182.622
"2025-10-10 15:01:30",485,865.7209,5785.049,13.6635,23.14293,7034.979
"2025-10-10 15:03:00",486,880.3947,5890.202,13.66374,23.10165,7133.653
"2025-10-10 15:04:30",487,878.8749,5876.284,13.6635,23.04933,7115.982
"2025-10-10 15:06:00",488,876.7772,5863.93,13.56235,22.99646,7110.04
"2025-10-10 15:07:30",489,873.3568,5843.355,13.66278,22.98145,7096.524
"2025-10-10 15:09:00",490,873.0762,5839.871,13.66326,22.89535,7091.252
"2025-10-10 15:10:30",491,869.3651,5812.951,13.66471,22.85241,7069.471
"2025-10-10 15:12:00",492,867.9589,5803.345,13.66278,22.83519,7053.855
"2025-10-10 15:13:30",493,865.7977,5789.651,13.66447,22.77779,7038.687
"2025-10-10 15:15:00",494,862.6412,5770.014,13.66422,22.76356,7015.811
"2025-10-10 15:16:30",495,860.6069,5758.063,13.66447,22.70991,6996.621
"2025-10-10 15:18:00",496,859.2308,5742.179,13.66495,22.65704,6975.287
"2025-10-10 15:19:30",497,854.1201,5709.384,13.66447,22.66366,6939.275
