Thu Oct 02 16:34:24 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
02-10-2025 16:40:50.154,887.01,15.09
02-10-2025 16:40:51.155,887.51,15.10
02-10-2025 16:40:52.155,887.19,15.10
02-10-2025 16:40:53.157,887.06,15.11
02-10-2025 16:40:54.159,887.34,15.08
02-10-2025 16:40:55.161,887.91,15.08
02-10-2025 16:40:56.162,887.77,15.09
02-10-2025 16:40:57.163,887.62,15.10
02-10-2025 16:40:58.164,887.25,15.11
02-10-2025 16:40:59.165,887.15,15.10
02-10-2025 16:41:00.168,886.85,15.08
02-10-2025 16:41:01.169,887.07,15.06
02-10-2025 16:41:02.172,887.50,15.06
02-10-2025 16:41:03.174,887.67,15.05
02-10-2025 16:41:04.175,887.31,15.05
02-10-2025 16:41:05.176,887.57,15.03
02-10-2025 16:41:06.177,887.13,15.05
02-10-2025 16:41:07.190,886.79,15.06
02-10-2025 16:41:08.191,886.91,15.05
02-10-2025 16:41:09.191,887.02,15.05
02-10-2025 16:41:10.192,887.44,15.04
02-10-2025 16:41:11.193,887.08,15.03
02-10-2025 16:41:12.195,887.89,15.03
02-10-2025 16:41:13.196,887.44,15.03
02-10-2025 16:41:14.198,887.18,15.03
02-10-2025 16:41:15.199,886.71,15.03
02-10-2025 16:41:16.201,887.39,15.03
02-10-2025 16:41:17.202,887.11,15.00
02-10-2025 16:41:18.202,887.31,15.01
02-10-2025 16:41:19.204,886.92,15.01
02-10-2025 16:41:20.205,887.04,15.00
02-10-2025 16:41:21.207,887.36,15.02
02-10-2025 16:41:22.208,887.32,15.01
02-10-2025 16:41:23.209,887.20,15.00
02-10-2025 16:41:24.211,887.25,15.00
02-10-2025 16:41:25.212,886.95,14.98
02-10-2025 16:41:26.213,887.16,14.97
02-10-2025 16:41:27.215,887.26,14.96
02-10-2025 16:41:28.216,886.85,14.93
02-10-2025 16:41:29.217,886.95,14.94
02-10-2025 16:41:30.219,887.48,14.93
02-10-2025 16:41:31.220,887.37,14.94
02-10-2025 16:41:32.221,887.23,14.94
02-10-2025 16:41:33.223,887.18,14.93
02-10-2025 16:41:34.224,887.21,14.93
02-10-2025 16:41:35.226,886.90,14.94
02-10-2025 16:41:36.227,886.69,14.94
02-10-2025 16:41:37.227,886.87,14.96
02-10-2025 16:41:38.229,886.57,14.95
02-10-2025 16:41:39.230,886.56,14.93
02-10-2025 16:41:40.231,886.73,14.93
02-10-2025 16:41:41.233,886.86,14.92
02-10-2025 16:41:42.234,886.68,14.92
02-10-2025 16:41:43.234,886.76,14.92
02-10-2025 16:41:44.235,886.29,14.92
02-10-2025 16:41:45.237,886.20,14.92
02-10-2025 16:41:46.238,886.08,14.91
02-10-2025 16:41:47.242,885.80,14.89
02-10-2025 16:41:48.245,885.91,14.89
02-10-2025 16:41:49.246,885.97,14.85
02-10-2025 16:41:50.249,885.93,14.86
02-10-2025 16:41:51.250,886.11,14.87
02-10-2025 16:41:52.253,885.78,14.85
02-10-2025 16:41:53.254,886.18,14.85
02-10-2025 16:41:54.255,886.40,14.85
02-10-2025 16:41:55.256,886.53,14.85
02-10-2025 16:41:56.257,886.02,14.85
02-10-2025 16:41:57.259,885.86,14.85
02-10-2025 16:41:58.263,885.56,14.85
02-10-2025 16:41:59.273,885.51,14.85
02-10-2025 16:42:00.274,885.66,14.86
02-10-2025 16:42:01.275,886.04,14.87
02-10-2025 16:42:02.277,885.98,14.85
02-10-2025 16:42:03.279,886.05,14.85
02-10-2025 16:42:04.280,885.87,14.85
02-10-2025 16:42:05.281,886.64,14.83
02-10-2025 16:42:06.282,886.72,14.82
02-10-2025 16:42:07.284,886.06,14.82
02-10-2025 16:42:08.285,885.90,14.82
02-10-2025 16:42:09.286,886.16,14.81
02-10-2025 16:42:10.286,886.12,14.81
02-10-2025 16:42:11.286,886.10,14.78
02-10-2025 16:42:12.287,886.06,14.78
02-10-2025 16:42:13.288,886.55,14.78
02-10-2025 16:42:14.290,886.92,14.77
02-10-2025 16:42:15.301,886.87,14.79
02-10-2025 16:42:16.303,886.91,14.81
02-10-2025 16:42:17.304,886.72,14.81
02-10-2025 16:42:18.305,886.29,14.81
02-10-2025 16:42:19.307,885.86,14.80
02-10-2025 16:42:20.308,886.16,14.79
02-10-2025 16:42:21.309,886.19,14.78
02-10-2025 16:42:22.309,886.34,14.77
02-10-2025 16:42:23.309,885.83,14.75
02-10-2025 16:42:24.310,885.80,14.72
02-10-2025 16:42:25.312,885.76,14.70
02-10-2025 16:42:26.314,885.72,14.72
02-10-2025 16:42:27.316,886.23,14.71
02-10-2025 16:42:28.318,886.69,14.72
02-10-2025 16:42:29.319,887.05,14.72
